"","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd"
"GO:0048661","positive regulation of smooth muscle cell proliferation",0.1939921076794,0.431569442420666,0.863278767220272,45,0.00183144162872225,0.00880743148605636
"GO:0048813","dendrite morphogenesis",0.194005529846861,0.431569442420666,-0.863229932077252,92,0.000249066540579233,0.00674441595869132
"GO:0004661","protein geranylgeranyltransferase activity",0.194037201979724,0.431588573154901,0.863114704516343,6,0.00345372995602014,0.0058494688099863
"GO:0070300","phosphatidic acid binding",0.194062981560567,0.431594594349301,0.863020923326854,7,0.00326394950348674,0.00696653040353331
"GO:0014060","regulation of epinephrine secretion",0.194132839375343,0.431698632115451,-0.862766832086927,7,-0.00146376751750863,0.00216710909684426
"GO:0051932","synaptic transmission, GABAergic",0.194210320955546,0.431780757821248,-0.862485076343993,34,-0.000171486649844953,0.00793335060432451
"GO:0048295","positive regulation of isotype switching to IgE isotypes",0.19423903051996,0.431780757821248,-0.86238069362906,4,-0.00222576192485149,0.00153684822574111
"GO:0006869","lipid transport",0.19425876275974,0.431780757821248,-0.862308956269413,241,0.000499909137839906,0.00666781728921688
"GO:0001758","retinal dehydrogenase activity",0.19430414340703,0.431780757821248,-0.862143989918047,6,-0.00165137166253328,0.0109098927204882
"GO:0030337","DNA polymerase processivity factor activity",0.194394900088945,0.431780757821248,0.861814144342912,2,0.00531722842078575,0.0124955010934266
"GO:0006703","estrogen biosynthetic process",0.194395874493555,0.431780757821248,-0.861810603481033,9,-0.00118224553303773,0.00852333810804194
"GO:0043414","macromolecule methylation",0.194431505322499,0.431780757821248,0.8616811330208,187,0.00135404440237496,0.00666645548603918
"GO:0042577","lipid phosphatase activity",0.194439853538694,0.431780757821248,-0.861650800496713,4,-0.00222311659133991,0.00228673103268358
"GO:0002093","auditory receptor cell morphogenesis",0.194477811923213,0.431780757821248,-0.861512891973836,12,-0.000902531181353489,0.00834708442163839
"GO:0072283","metanephric renal vesicle morphogenesis",0.194480909481749,0.431780757821248,0.861501638800653,15,0.00251158363695631,0.00826741259187136
"GO:0010761","fibroblast migration",0.194483828960516,0.431780757821248,0.861491032676365,26,0.00212361527940991,0.00507572186133563
"GO:0009988","cell-cell recognition",0.194581575270556,0.431780757821248,-0.861135987703641,60,9.5224417414852e-05,0.00612092972359951
"GO:0009631","cold acclimation",0.194597408187326,0.431780757821248,-0.86107848784534,1,-0.00534237435403892,NA
"GO:0046317","regulation of glucosylceramide biosynthetic process",0.194597408187326,0.431780757821248,-0.86107848784534,1,-0.00534237435403892,NA
"GO:0046318","negative regulation of glucosylceramide biosynthetic process",0.194597408187326,0.431780757821248,-0.86107848784534,1,-0.00534237435403892,NA
"GO:0090155","negative regulation of sphingolipid biosynthetic process",0.194597408187326,0.431780757821248,-0.86107848784534,1,-0.00534237435403892,NA
"GO:1900060","negative regulation of ceramide biosynthetic process",0.194597408187326,0.431780757821248,-0.86107848784534,1,-0.00534237435403892,NA
"GO:0030903","notochord development",0.194646098128464,0.431780757821248,0.860901680100098,17,0.00241266082520029,0.00727586677142508
"GO:0035373","chondroitin sulfate proteoglycan binding",0.194706332484901,0.431780757821248,-0.860682988362028,1,-0.00533950730509245,NA
"GO:1990256","signal clustering",0.194706332484901,0.431780757821248,-0.860682988362028,1,-0.00533950730509245,NA
"GO:0048018","receptor agonist activity",0.194729652917037,0.431780757821248,0.860598330363154,15,0.00250989357715808,0.00523045693948756
"GO:0033385","geranylgeranyl diphosphate metabolic process",0.194785248987149,0.431780757821248,0.860396529988469,1,0.00713691662991914,NA
"GO:0033386","geranylgeranyl diphosphate biosynthetic process",0.194785248987149,0.431780757821248,0.860396529988469,1,0.00713691662991914,NA
"GO:1901252","regulation of intracellular transport of viral material",0.194793770400468,0.431780757821248,-0.860365602402597,2,-0.00351031757240243,0.00496433871912811
"GO:1901253","negative regulation of intracellular transport of viral material",0.194793770400468,0.431780757821248,-0.860365602402597,2,-0.00351031757240243,0.00496433871912811
"GO:0051782","negative regulation of cell division",0.194834918153395,0.431780757821248,-0.860216272480452,13,-0.000829169426567545,0.00463352265141864
"GO:0016922","ligand-dependent nuclear receptor binding",0.194835303497971,0.431780757821248,-0.860214874111379,18,-0.000569333040419304,0.00673699534851751
"GO:0007269","neurotransmitter secretion",0.194837542812809,0.431780757821248,-0.860206747940744,108,0.000301580099419312,0.00553445510758279
"GO:0002947","tumor necrosis factor receptor superfamily complex",0.194839162662737,0.431780757821248,-0.860200869759879,1,-0.00533601233812362,NA
"GO:0061578","Lys63-specific deubiquitinase activity",0.194899955272203,0.431864316906164,0.859980284417365,2,0.00530782842472354,0.00383025424584119
"GO:0070119","ciliary neurotrophic factor binding",0.194987258292824,0.432006591688448,0.859663579501888,1,0.0071316033362006,NA
"GO:0016830","carbon-carbon lyase activity",0.195040099402878,0.43207248927407,0.85947193226306,44,0.0018378421094674,0.00675233070731916
"GO:0032060","bleb assembly",0.195067983909303,0.432083091415917,0.85937081182222,5,0.00368544119244549,0.00689595467144996
"GO:0033553","rDNA heterochromatin",0.195180967587089,0.43228216666873,-0.85896117744371,4,-0.00221336865745712,0.000468010176553913
"GO:0009895","negative regulation of catabolic process",0.195249322782426,0.432382364385942,0.858713418355119,117,0.00147328987687764,0.00830694977333558
"GO:0002312","B cell activation involved in immune response",0.19531058556298,0.432435179900507,-0.858491411096724,49,1.19376374313679e-05,0.0081148713692718
"GO:0002675","positive regulation of acute inflammatory response",0.195319407408285,0.432435179900507,-0.858459445518924,24,-0.000369695288454266,0.00778234881401547
"GO:0003158","endothelium development",0.195515399795589,0.432817877938022,0.857749501584941,83,0.00158061984277832,0.00762018443167678
"GO:0010484","H3 histone acetyltransferase activity",0.195606058607534,0.432892207044416,-0.85742125404607,2,-0.00349522543664463,0.00117645895169621
"GO:2001023","regulation of response to drug",0.195610299446546,0.432892207044416,-0.857405901540579,3,-0.00268856470204222,0.00904604765768362
"GO:0060228","phosphatidylcholine-sterol O-acyltransferase activator activity",0.195618401910962,0.432892207044416,0.857376569904506,5,0.00367897674646453,0.00626223594717463
"GO:0005087","Ran guanyl-nucleotide exchange factor activity",0.195702411605785,0.433026888040905,0.857072490858089,5,0.00367799105734023,0.00807761433470673
"GO:0031430","M band",0.19578163886519,0.433107005580717,0.856785794767752,19,0.0023238949266634,0.00873213009862062
"GO:0061134","peptidase regulator activity",0.195850258948158,0.433107005580717,0.856537539285496,199,0.00133735004785765,0.00671866352669208
"GO:0005754","mitochondrial proton-transporting ATP synthase, catalytic core",0.195851825331874,0.433107005580717,0.856531872998903,1,0.00710890101620046,NA
"GO:0045267","proton-transporting ATP synthase, catalytic core",0.195851825331874,0.433107005580717,0.856531872998903,1,0.00710890101620046,NA
"GO:0044264","cellular polysaccharide metabolic process",0.195854386838837,0.433107005580717,0.856522606980877,97,0.00152841148371094,0.00741469793144937
"GO:0048022","negative regulation of melanin biosynthetic process",0.196027963558281,0.433388380371257,-0.855894880248301,2,-0.003487401552449,0.00493193057291436
"GO:1900377","negative regulation of secondary metabolite biosynthetic process",0.196027963558281,0.433388380371257,-0.855894880248301,2,-0.003487401552449,0.00493193057291436
"GO:0003207","cardiac chamber formation",0.196069903964311,0.433429877517892,0.855743256611133,12,0.00268994709130258,0.00830595484574377
"GO:0015015","heparan sulfate proteoglycan biosynthetic process, enzymatic modification",0.19616128874788,0.433580653115661,-0.855412948971248,5,-0.00187312564551687,0.00330499123912304
"GO:0009074","aromatic amino acid family catabolic process",0.19620945288032,0.43359581557935,-0.855238898668216,19,-0.000521837756644895,0.00829992299293934
"GO:0009649","entrainment of circadian clock",0.196214507584689,0.43359581557935,0.855220634029539,21,0.00225182803140121,0.00599564895593606
"GO:0046030","inositol trisphosphate phosphatase activity",0.196295318964745,0.433623863440445,-0.854928669400342,8,-0.00129096918861156,0.00222760178115293
"GO:0060331","negative regulation of response to interferon-gamma",0.196346683650163,0.433623863440445,-0.854743131045755,5,-0.00187095439349475,0.00123569526939153
"GO:0060336","negative regulation of interferon-gamma-mediated signaling pathway",0.196346683650163,0.433623863440445,-0.854743131045755,5,-0.00187095439349475,0.00123569526939153
"GO:0070293","renal absorption",0.196424044638899,0.433623863440445,-0.854463744949074,15,-0.000698930058954541,0.00635245304895965
"GO:0004817","cysteine-tRNA ligase activity",0.196438591328679,0.433623863440445,-0.854411217614158,2,-0.00347979659706265,0.00216734049340015
"GO:0006423","cysteinyl-tRNA aminoacylation",0.196438591328679,0.433623863440445,-0.854411217614158,2,-0.00347979659706265,0.00216734049340015
"GO:0000977","RNA polymerase II regulatory region sequence-specific DNA binding",0.196446462292219,0.433623863440445,0.854382796959907,279,0.00126752152324953,0.00659695991601945
"GO:0003692","left-handed Z-DNA binding",0.196471553996248,0.433623863440445,-0.854292199870334,1,-0.0052931792966238,NA
"GO:0070182","DNA polymerase binding",0.196503311542621,0.433623863440445,0.854177544881716,7,0.00323972347066953,0.00934916188222934
"GO:0005072","transforming growth factor beta receptor, cytoplasmic mediator activity",0.196515586715931,0.433623863440445,0.854133230554469,10,0.00285723804563083,0.00603194957145198
"GO:0016248","channel inhibitor activity",0.196561329837066,0.433623863440445,0.853968109110116,30,0.00202902458472406,0.00627315009884667
"GO:0015093","ferrous iron transmembrane transporter activity",0.196566347421935,0.433623863440445,-0.853949998276852,2,-0.00347743247977424,0.00736102225864285
"GO:0015684","ferrous iron transport",0.196566347421935,0.433623863440445,-0.853949998276852,2,-0.00347743247977424,0.00736102225864285
"GO:0071333","cellular response to glucose stimulus",0.196572212747245,0.433623863440445,0.85392882790308,71,0.00163289233051331,0.00774595757693353
"GO:0007160","cell-matrix adhesion",0.196574915106114,0.433623863440445,0.853919074106158,179,0.00136001123436369,0.00758034060000401
"GO:0015884","folic acid transport",0.196630807281776,0.433696012382138,0.853717357109907,7,0.0032384628072103,0.00859543722790208
"GO:0004029","aldehyde dehydrogenase (NAD) activity",0.196658944118547,0.433706933350807,0.853615823335906,10,0.00285605225627997,0.0061186536296065
"GO:0048496","maintenance of organ identity",0.196718194617569,0.4337864609827,-0.853402042472995,5,-0.00186660718037216,0.0021184411036984
"GO:0004689","phosphorylase kinase activity",0.196776812893503,0.433829012044043,-0.853190581098453,5,-0.0018659217165773,0.00307106429220271
"GO:0030578","PML body organization",0.196783875077179,0.433829012044043,0.853165107334541,4,0.00399184801942134,0.00897773069439663
"GO:0007155","cell adhesion",0.196935607624734,0.433990028510967,-0.852617931652794,1040,0.000713988605635405,0.00759577333902927
"GO:0032543","mitochondrial translation",0.196948144289694,0.433990028510967,0.852572733533314,17,0.00239802383194892,0.00771040227399791
"GO:0000153","cytoplasmic ubiquitin ligase complex",0.197040720635743,0.433990028510967,0.852239024287461,10,0.0028528969202287,0.00833332114531123
"GO:0048822","enucleate erythrocyte development",0.197051234905292,0.433990028510967,0.852201129582095,2,0.00526795404620629,0.00972576692808564
"GO:0042492","gamma-delta T cell differentiation",0.197056795840416,0.433990028510967,-0.852181087790807,10,-0.00105327822728179,0.00647687410795364
"GO:0010463","mesenchymal cell proliferation",0.197058142722826,0.433990028510967,0.852176233634228,50,0.00177213466964009,0.00765507760940368
"GO:0003880","protein C-terminal carboxyl O-methyltransferase activity",0.197095557394911,0.433990028510967,0.852041399393141,2,0.00526713530147761,0.00275675965571594
"GO:0006481","C-terminal protein methylation",0.197095557394911,0.433990028510967,0.852041399393141,2,0.00526713530147761,0.00275675965571594
"GO:0039019","pronephric nephron development",0.197118095606407,0.433990028510967,-0.851960184116511,2,-0.00346723309376271,0.00490340806510805
"GO:0039020","pronephric nephron tubule development",0.197118095606407,0.433990028510967,-0.851960184116511,2,-0.00346723309376271,0.00490340806510805
"GO:0072114","pronephros morphogenesis",0.197118095606407,0.433990028510967,-0.851960184116511,2,-0.00346723309376271,0.00490340806510805
"GO:0033327","Leydig cell differentiation",0.197147970741078,0.433990028510967,0.851852539277975,13,0.00261184542675301,0.00561915139232906
"GO:0002467","germinal center formation",0.19715851931392,0.433990028510967,-0.85181453345838,15,-0.000693973473084695,0.00674686544474289
"GO:0052858","peptidyl-lysine N-acetyltransferase activity, acting on acetyl phosphate as donor",0.197230353460982,0.434045999040133,0.851555752424744,1,0.00707282819726735,NA
"GO:0071962","mitotic sister chromatid cohesion, centromeric",0.197230353460982,0.434045999040133,0.851555752424744,1,0.00707282819726735,NA
"GO:0090043","regulation of tubulin deacetylation",0.197272214040756,0.434087052799245,0.851404976844706,3,0.00446293629911783,0.00433037898258726
"GO:0033564","anterior/posterior axon guidance",0.197421888981791,0.434337620932597,0.850866028224952,5,0.00365787246386951,0.0054762109126804
"GO:0006063","uronic acid metabolic process",0.197455742992131,0.434337620932597,-0.850744161180101,19,-0.000514366590240659,0.00516411001526979
"GO:0019585","glucuronate metabolic process",0.197455742992131,0.434337620932597,-0.850744161180101,19,-0.000514366590240659,0.00516411001526979
"GO:0016569","covalent chromatin modification",0.197513396270227,0.434413355747309,0.850536651043187,353,0.00122452051719206,0.00744957965070665
"GO:0035054","embryonic heart tube anterior/posterior pattern specification",0.197542048962862,0.434425296014495,0.850433535678923,3,0.00445887074537075,0.00805159943219474
"GO:0018242","protein O-linked glycosylation via serine",0.197671845705487,0.434659638623115,0.849966536128551,3,0.00445691631741487,0.00673052391598307
"GO:0097502","mannosylation",0.197730072089912,0.434736568936752,0.849757101913224,18,0.00235095915905723,0.00772882581269016
"GO:0090110","cargo loading into COPII-coated vesicle",0.197895639683986,0.435049457742231,0.849161776159223,5,0.00365234803610626,0.00961422810828945
"GO:0008120","ceramide glucosyltransferase activity",0.197920704343056,0.435053430721645,0.849071678247206,1,0.00705482068384654,NA
"GO:0060134","prepulse inhibition",0.197984072650348,0.435141588884669,-0.848843924028506,11,-0.000955043344835275,0.0036929143133673
"GO:0001888","glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity",0.198054464214214,0.435245160666247,0.848590978891688,2,0.00524944914198701,0.00233296685953171
"GO:0051851","modification by host of symbiont morphology or physiology",0.198085182477183,0.435261532176458,-0.848480612860886,30,-0.000222282042365363,0.00735431408848295
"GO:0015232","heme transporter activity",0.198146494283047,0.435296174480076,-0.84826035979367,8,-0.00127388197727937,0.00620526519161282
"GO:0071877","regulation of adrenergic receptor signaling pathway",0.198147488810962,0.435296174480076,0.848256787446948,5,0.00364941446491215,0.00777194365677675
"GO:0048535","lymph node development",0.19822219697783,0.435409161186859,0.847988466468595,17,0.00238996760472369,0.00699597501878955
"GO:0000828","inositol hexakisphosphate kinase activity",0.198435152551011,0.435490898154396,-0.847223952535285,5,-0.00184658055857012,0.00169291402921963
"GO:0000832","inositol hexakisphosphate 5-kinase activity",0.198435152551011,0.435490898154396,-0.847223952535285,5,-0.00184658055857012,0.00169291402921963
"GO:0052723","inositol hexakisphosphate 1-kinase activity",0.198435152551011,0.435490898154396,-0.847223952535285,5,-0.00184658055857012,0.00169291402921963
"GO:0052724","inositol hexakisphosphate 3-kinase activity",0.198435152551011,0.435490898154396,-0.847223952535285,5,-0.00184658055857012,0.00169291402921963
"GO:0010172","embryonic body morphogenesis",0.198444388833494,0.435490898154396,-0.84719080533753,10,-0.00104184154147885,0.00740622517882159
"GO:0032876","negative regulation of DNA endoreduplication",0.198447074093135,0.435490898154396,-0.84718116864448,5,-0.0018464418722109,0.00278310031405021
"GO:0042374","phylloquinone metabolic process",0.198468935462751,0.435490898154396,-0.847102716846037,3,-0.00264544510549109,0.00860723200986969
"GO:0042376","phylloquinone catabolic process",0.198468935462751,0.435490898154396,-0.847102716846037,3,-0.00264544510549109,0.00860723200986969
"GO:1901662","quinone catabolic process",0.198468935462751,0.435490898154396,-0.847102716846037,3,-0.00264544510549109,0.00860723200986969
"GO:0070327","thyroid hormone transport",0.19849243601653,0.435491380263336,-0.847018388479025,3,-0.00264509218498435,0.00458143405509628
"GO:0031997","N-terminal myristoylation domain binding",0.198546077051539,0.435557982564334,-0.846825927878853,1,-0.00523905490923402,NA
"GO:0021800","cerebral cortex tangential migration",0.198606196340181,0.435625972448704,0.846610260990879,9,0.00294500999399687,0.00825812236676549
"GO:0042447","hormone catabolic process",0.198623645836363,0.435625972448704,0.846547671506525,7,0.0032188217797688,0.00774723035622919
"GO:0000775","chromosome, centromeric region",0.198649701775537,0.435632042369659,0.846454217800448,157,0.00138722220804589,0.00622647874604174
"GO:0015347","sodium-independent organic anion transmembrane transporter activity",0.198756596633579,0.435696915403846,-0.846070900000313,6,-0.00160381081984987,0.00392851815258694
"GO:0043237","laminin-1 binding",0.198766752370292,0.435696915403846,0.846034488675291,6,0.00340318899203793,0.00340579601194512
"GO:0035469","determination of pancreatic left/right asymmetry",0.198805298063397,0.435696915403846,-0.845896301151666,5,-0.00184227690284273,0.00264351084152277
"GO:0002384","hepatic immune response",0.198820520411992,0.435696915403846,0.845841733001592,2,0.00523535706211714,0.00268169719840828
"GO:0046037","GMP metabolic process",0.198822076945611,0.435696915403846,-0.845836153376412,8,-0.00126767006904356,0.0127605848171805
"GO:0010833","telomere maintenance via telomere lengthening",0.198851541667234,0.435696915403846,0.845730537686637,41,0.00185610337075572,0.00636994046810339
"GO:0086008","voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization",0.198868278122823,0.435696915403846,-0.845670550406143,7,-0.00141693303184003,0.0019164345567733
"GO:0001222","transcription corepressor binding",0.198885911870607,0.435696915403846,-0.845607350317472,8,-0.00126708377259781,0.00380456085867438
"GO:0046209","nitric oxide metabolic process",0.19888891054386,0.435696915403846,-0.84559660328329,66,0.000146639111477078,0.00942157893059377
"GO:0004913","interleukin-4 receptor activity",0.19893792764941,0.435732922649326,-0.845420943266079,2,-0.0034337142642231,0.00485600528177827
"GO:0097026","dendritic cell dendrite assembly",0.199027790929421,0.435732922649326,-0.84509897269827,3,-0.00263705928675592,0.0045675206672326
"GO:2000547","regulation of dendritic cell dendrite assembly",0.199027790929421,0.435732922649326,-0.84509897269827,3,-0.00263705928675592,0.0045675206672326
"GO:1903209","positive regulation of oxidative stress-induced cell death",0.199133454250649,0.435732922649326,0.844720504294306,2,0.00522960986993168,0.00832118148720514
"GO:0010876","lipid localization",0.199214099951356,0.435732922649326,-0.844431726233741,273,0.000532209784330736,0.00686884798580529
"GO:0002575","basophil chemotaxis",0.199235902377108,0.435732922649326,0.844353667676161,1,0.00702061895209237,NA
"GO:0072658","maintenance of protein location in membrane",0.19925181927388,0.435732922649326,-0.844296684146679,1,-0.00522071995335248,NA
"GO:0072660","maintenance of protein location in plasma membrane",0.19925181927388,0.435732922649326,-0.844296684146679,1,-0.00522071995335248,NA
"GO:1900827","positive regulation of membrane depolarization during cardiac muscle cell action potential",0.19925181927388,0.435732922649326,-0.844296684146679,1,-0.00522071995335248,NA
"GO:0033029","regulation of neutrophil apoptotic process",0.199253154600019,0.435732922649326,0.844291903716578,2,0.0052274129498252,0.00739267828976755
"GO:0033031","positive regulation of neutrophil apoptotic process",0.199253154600019,0.435732922649326,0.844291903716578,2,0.0052274129498252,0.00739267828976755
"GO:0033364","mast cell secretory granule organization",0.199416993719671,0.435732922649326,-0.843705510598404,2,-0.00342492130239625,0.00214482340274696
"GO:0002024","diet induced thermogenesis",0.19951696020918,0.435732922649326,-0.843347865125626,7,-0.00141057014121187,0.0076669720901494
"GO:0001831","trophectodermal cellular morphogenesis",0.199552366083954,0.435732922649326,0.843221221036537,3,0.00442868667056287,0.00767071032421794
"GO:0002018","renin-angiotensin regulation of aldosterone production",0.199558486468564,0.435732922649326,-0.843199330262808,4,-0.00215624338705219,0.00385135029325598
"GO:0002034","regulation of blood vessel size by renin-angiotensin",0.199558486468564,0.435732922649326,-0.843199330262808,4,-0.00215624338705219,0.00385135029325598
"GO:0003072","renal control of peripheral vascular resistance involved in regulation of systemic arterial blood pressure",0.199558486468564,0.435732922649326,-0.843199330262808,4,-0.00215624338705219,0.00385135029325598
"GO:0010596","negative regulation of endothelial cell migration",0.199620433394751,0.435732922649326,-0.842977787488676,31,-0.000196845884604342,0.0060579960780722
"GO:0060022","hard palate development",0.19966809671622,0.435732922649326,0.842807355787412,6,0.00339363979145581,0.00675547754038158
"GO:0031945","positive regulation of glucocorticoid metabolic process",0.199675115581554,0.435732922649326,-0.842782260209569,1,-0.00520974161396998,NA
"GO:0031948","positive regulation of glucocorticoid biosynthetic process",0.199675115581554,0.435732922649326,-0.842782260209569,1,-0.00520974161396998,NA
"GO:0061369","negative regulation of testicular blood vessel morphogenesis",0.199675115581554,0.435732922649326,-0.842782260209569,1,-0.00520974161396998,NA
"GO:2000066","positive regulation of cortisol biosynthetic process",0.199675115581554,0.435732922649326,-0.842782260209569,1,-0.00520974161396998,NA
"GO:2000180","negative regulation of androgen biosynthetic process",0.199675115581554,0.435732922649326,-0.842782260209569,1,-0.00520974161396998,NA
"GO:2000181","negative regulation of blood vessel morphogenesis",0.199675115581554,0.435732922649326,-0.842782260209569,1,-0.00520974161396998,NA
"GO:2000225","negative regulation of testosterone biosynthetic process",0.199675115581554,0.435732922649326,-0.842782260209569,1,-0.00520974161396998,NA
"GO:0045082","positive regulation of interleukin-10 biosynthetic process",0.199706571029511,0.435732922649326,-0.84266979945549,2,-0.00341961245599563,0.0081968184851061
"GO:0008781","N-acylneuraminate cytidylyltransferase activity",0.199709128063344,0.435732922649326,0.842660657916008,2,0.00521905151289741,0.00504651848557148
"GO:0009794","regulation of mitotic cell cycle, embryonic",0.199744305509761,0.435732922649326,-0.842534903717775,2,-0.00341892100765453,0.000140763191724888
"GO:0045448","mitotic cell cycle, embryonic",0.199744305509761,0.435732922649326,-0.842534903717775,2,-0.00341892100765453,0.000140763191724888
"GO:0018282","metal incorporation into metallo-sulfur cluster",0.19977337152022,0.435732922649326,-0.842431007056409,2,-0.00341838845432583,0.00550446550136765
"GO:0018283","iron incorporation into metallo-sulfur cluster",0.19977337152022,0.435732922649326,-0.842431007056409,2,-0.00341838845432583,0.00550446550136765
"GO:0061511","centriole elongation",0.199808372842539,0.435732922649326,-0.84230590664786,1,-0.00520628843884619,NA
"GO:0001886","endothelial cell morphogenesis",0.199815762143524,0.435732922649326,0.842279497771681,12,0.0026617810770834,0.00702561670882698
"GO:0097162","MADS box domain binding",0.199855336052475,0.435732922649326,0.842138073217503,1,0.00700455769783912,NA
"GO:1901856","negative regulation of cellular respiration",0.199864318461961,0.435732922649326,0.842105975290514,1,0.00700432501402627,NA
"GO:0030449","regulation of complement activation",0.199911951539196,0.435732922649326,0.841935776768683,27,0.00207344108702546,0.00824872836657593
"GO:0004653","polypeptide N-acetylgalactosaminyltransferase activity",0.199949303689261,0.435732922649326,0.841802330253758,17,0.00237909630986034,0.00524727918053955
"GO:0006749","glutathione metabolic process",0.199994681324821,0.435732922649326,0.841640231576973,44,0.00181837910821339,0.00727152085926993
"GO:0010624","regulation of Schwann cell proliferation",0.200024909241011,0.435732922649326,0.84153226322857,5,0.00362761654602817,0.00902658932901082
"GO:0010731","protein glutathionylation",0.200031388028326,0.435732922649326,-0.841509123513184,1,-0.00520051241044861,NA
"GO:0010732","regulation of protein glutathionylation",0.200031388028326,0.435732922649326,-0.841509123513184,1,-0.00520051241044861,NA
"GO:0010734","negative regulation of protein glutathionylation",0.200031388028326,0.435732922649326,-0.841509123513184,1,-0.00520051241044861,NA
"GO:0032440","2-alkenal reductase [NAD(P)] activity",0.200038707671153,0.435732922649326,0.841482981130135,1,0.00699980881406511,NA
"GO:0004938","alpha2-adrenergic receptor activity",0.200063002879639,0.435732922649326,-0.841396213989947,3,-0.0026215629653405,0.00263099905823979
"GO:0071883","activation of MAPK activity by adrenergic receptor signaling pathway",0.200063002879639,0.435732922649326,-0.841396213989947,3,-0.0026215629653405,0.00263099905823979
"GO:0046696","lipopolysaccharide receptor complex",0.200083742402948,0.435732922649326,0.841322150522897,5,0.00362693545401838,0.00970893556357084
"GO:0060231","mesenchymal to epithelial transition",0.200094990657443,0.435732922649326,0.841281983510252,19,0.00229812444415783,0.00853890487074192
"GO:0032370","positive regulation of lipid transport",0.200096571654906,0.435732922649326,-0.84127633794797,42,-4.01595943074188e-05,0.00699244732433767
"GO:0051701","interaction with host",0.2001059476366,0.435732922649326,0.841242857933788,116,0.00146405431586525,0.00918193993315098
"GO:0015886","heme transport",0.200131197513175,0.435732922649326,-0.841152699666403,9,-0.00113233953535944,0.00582000515049114
"GO:0016893","endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters",0.200189830484229,0.435732922649326,-0.840943368690534,33,-0.000160469537949566,0.00499581594547525
"GO:0034274","Atg12-Atg5-Atg16 complex",0.200193152008688,0.435732922649326,0.84093151131272,2,0.0052101882562029,0.0112530779840606
"GO:0051044","positive regulation of membrane protein ectodomain proteolysis",0.200250721834813,0.435732922649326,-0.840726013864556,15,-0.00067322722472766,0.00783821473552143
"GO:0035278","negative regulation of translation involved in gene silencing by miRNA",0.200259793159016,0.435732922649326,-0.840693636702808,5,-0.0018254121769597,0.00624288781310264
"GO:0040033","negative regulation of translation, ncRNA-mediated",0.200259793159016,0.435732922649326,-0.840693636702808,5,-0.0018254121769597,0.00624288781310264
"GO:0045974","regulation of translation, ncRNA-mediated",0.200259793159016,0.435732922649326,-0.840693636702808,5,-0.0018254121769597,0.00624288781310264
"GO:0019798","procollagen-proline dioxygenase activity",0.200289691982885,0.435732922649326,0.840586928746785,7,0.00320249259623241,0.0102625300777206
"GO:0016015","morphogen activity",0.200290257036435,0.435732922649326,-0.840584912180704,6,-0.00158757758747284,0.0109268882773783
"GO:0010458","exit from mitosis",0.200302972407867,0.435732922649326,0.840539534400184,20,0.00226147398821221,0.00754285003316193
"GO:0015918","sterol transport",0.200519205328439,0.436072543895399,-0.839768121375245,64,0.000140189315983021,0.00748617723597783
"GO:0030301","cholesterol transport",0.200519205328439,0.436072543895399,-0.839768121375245,64,0.000140189315983021,0.00748617723597783
"GO:1901607","alpha-amino acid biosynthetic process",0.200541142420555,0.436072543895399,0.839689888509119,65,0.00165333893824469,0.00694113043142907
"GO:0019934","cGMP-mediated signaling",0.200552341234477,0.436072543895399,0.839649952867697,10,0.00282404539614633,0.00724475024148435
"GO:0045927","positive regulation of growth",0.200613097687475,0.436153952271259,0.839433315051327,165,0.0013712024052698,0.0068973771407479
"GO:0015807","L-amino acid transport",0.200662393469814,0.436180738380544,-0.839257571217267,51,4.90661719362407e-05,0.00667622333066692
"GO:0046490","isopentenyl diphosphate metabolic process",0.200694069349323,0.436180738380544,-0.839144657577007,4,-0.0021415481377631,0.00212433650218538
"GO:0045980","negative regulation of nucleotide metabolic process",0.200721364258011,0.436180738380544,0.839047369175079,44,0.00181554904253049,0.00673445792743286
"GO:0032411","positive regulation of transporter activity",0.200733880137551,0.436180738380544,0.839002760949838,47,0.00178571437964987,0.00792959119574505
"GO:2000192","negative regulation of fatty acid transport",0.200742006667278,0.436180738380544,0.83897379783309,8,0.00304957153925001,0.00556414406594034
"GO:0001987","vasoconstriction of artery involved in baroreceptor response to lowering of systemic arterial blood pressure",0.200817791402095,0.436224297672556,-0.83870373337716,1,-0.00518017561818135,NA
"GO:0047225","acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity",0.200817791402095,0.436224297672556,-0.83870373337716,1,-0.00518017561818135,NA
"GO:0004490","methylglutaconyl-CoA hydratase activity",0.200832013875551,0.436224297672556,-0.838653057367824,1,-0.00517980825841147,NA
"GO:0003847","1-alkyl-2-acetylglycerophosphocholine esterase activity",0.200895600695664,0.436277592418752,-0.83842651788666,5,-0.00181806318535079,0.00801074223222579
"GO:0070853","myosin VI binding",0.200922023873348,0.436277592418752,-0.838332393218874,1,-0.00517748370465297,NA
"GO:0004645","phosphorylase activity",0.200927213983952,0.436277592418752,0.838313905874821,5,0.00361718406184662,0.00892772376998429
